Date,GW,ICU,O2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,public_health_measure,not_vaccinated,partially_vaccinated,fully_vaccinated,fully_vaccinated_ratio,partially_vaccinated_ratio
18/04/2021,,,,,,,,,,,,,,0.149,0.09
19/04/2021,,,,,,,,,,,,,,,
20/04/2021,,,,,,,,,,,,,,,
21/04/2021,,,,,,,,,,,,,,,
22/04/2021,,,,,,,,,,,,,,,
23/04/2021,,,,,,,,,,,,,,,
24/04/2021,,,,,,,,,,,,,,,
25/04/2021,,,,,,,,,,,,,,,
26/04/2021,,,,,,,,,,,,,,,
27/04/2021,,,,,,,,,,,,,,,
28/04/2021,112,0,,-16,-1,-20,-17,-9,12,Phase 3,,,,,
29/04/2021,110,0,,-15,2,-21,-15,-10,11,Phase 3,,,,,
30/04/2021,113,0,,-9,11,-20,-14,-7,13,Phase 3,,,,,
01/05/2021,112,0,,-11,16,-10,-20,-30,14,Phase 3,,,,,
02/05/2021,126,0,,-11,6,-8,-19,2,9,Phase 3,,,,,
03/05/2021,131,0,,-10,14,-10,-25,-29,17,Phase 3,,,,,
04/05/2021,129,2,,-17,6,-18,-20,-12,13,Phase 3,,,,,
05/05/2021,129,2,,-19,-2,-24,-21,-13,14,Phase 3,,,,,
06/05/2021,119,1,,-19,3,-21,-19,-14,13,Phase 3,,,,,
07/05/2021,136,2,,-13,9,-22,-18,-10,15,Phase 3,,,,,
08/05/2021,131,2,,-10,16,-24,-17,2,10,Phase 3 HA,,,,,
09/05/2021,131,2,,-12,8,-18,-22,3,10,Phase 3 HA,,,,,
10/05/2021,132,3,,-16,11,-18,-23,-15,15,Phase 3 HA,,,,0.225,0.1
11/05/2021,141,3,,-16,11,-17,-22,-16,14,Phase 3 HA,,,,,
12/05/2021,140,3,,-13,9,-15,-20,-19,15,Phase 3 HA,,,,,
13/05/2021,147,3,,-20,10,11,-39,-73,31,Phase 3 HA,,,,,
14/05/2021,177,3,,-15,12,-23,-23,-21,19,Phase 3 HA,,,,,
15/05/2021,187,3,,-13,13,-23,-21,-3,11,Phase 3 HA,,,,,
16/05/2021,205,2,,-44,-7,-30,-42,-9,18,Phase 2 HA,,,,,
17/05/2021,210,3,,-40,-2,-30,-34,-26,22,Phase 2 HA,,,,0.253,0.092
18/05/2021,215,5,,-42,-4,-28,-36,-28,23,Phase 2 HA,,,,,
19/05/2021,216,5,,-44,-10,-27,-40,-36,27,Phase 2 HA,,,,,
20/05/2021,236,4,,-44,-6,-26,-43,-37,26,Phase 2 HA,,,,,
21/05/2021,245,4,,-45,-7,-37,-43,-33,30,Phase 2 HA,,,,,
22/05/2021,250,5,,-41,2,-29,-40,-8,19,Phase 2 HA,,,,,
23/05/2021,239,3,,-45,-8,-24,-46,-10,18,Phase 2 HA,,,,,
24/05/2021,241,3,,-41,-2,-25,-42,-36,26,Phase 2 HA,,,,0.283,0.087
25/05/2021,248,2,,-40,1,-14,-41,-36,24,Phase 2 HA,,,,,
26/05/2021,240,2,,-43,1,6,-55,-73,39,Phase 2 HA,,,,,
27/05/2021,243,2,,-45,-11,-27,-41,-36,26,Phase 2 HA,,,,,
28/05/2021,238,3,,-42,-3,-25,-41,-32,29,Phase 2 HA,,,,,
29/05/2021,223,3,,-39,3,-22,-38,-4,18,Phase 2 HA,,,,,
30/05/2021,219,3,,-42,-5,-18,-44,-4,18,Phase 2 HA,,,,,
31/05/2021,221,2,,-38,0,-21,-40,-34,25,Phase 2 HA,,,,0.31,0.09
01/06/2021,215,2,,-39,0,-15,-40,-34,25,Phase 2 HA,,,,,
02/06/2021,214,2,11,-42,-9,-22,-41,-35,26,Phase 2 HA,,,,,
03/06/2021,229,2,11,-42,-4,-20,-39,-35,26,Phase 2 HA,,,,,
04/06/2021,227,2,13,-41,-1,-25,-40,-31,29,Phase 2 HA,,,,,
05/06/2021,205,2,12,-37,6,-17,-35,-4,18,Phase 2 HA,,,,,
06/06/2021,205,2,11,-40,-3,-12,-41,-4,17,Phase 2 HA,,,,,
07/06/2021,202,2,11,-39,-1,-20,-40,-34,25,Phase 2 HA,,,,0.331,0.128
08/06/2021,186,2,8,-39,2,-10,-39,-34,25,Phase 2 HA,,,,,
09/06/2021,157,1,10,-40,-3,-13,-39,-34,25,Phase 2 HA,,,,,
10/06/2021,149,1,9,-42,-5,-26,-38,-34,25,Phase 2 HA,,,,,
11/06/2021,132,1,7,-39,1,-18,-38,-31,28,Phase 2 HA,,,,,
12/06/2021,124,1,8,-36,6,-15,-34,-3,17,Phase 2 HA,,,,,
13/06/2021,129,1,8,-38,-1,-8,-39,-3,16,Phase 2 HA,,,,,
14/06/2021,136,2,10,-37,1,-12,-38,-33,23,Phase 3 transition,,,,0.349,0.124
15/06/2021,135,2,10,-38,-2,-16,-38,-33,24,Phase 3 transition,,,,,
16/06/2021,145,1,9,-37,-5,-7,-37,-33,24,Phase 3 transition,,,,,
17/06/2021,150,1,12,-39,-4,-13,-36,-34,23,Phase 3 transition,,,,,
18/06/2021,151,1,9,-39,-3,-26,-38,-30,27,Phase 3 transition,,,,,
19/06/2021,152,1,7,-34,5,-15,-32,-2,15,Phase 3 transition,,,,,
20/06/2021,141,1,5,-37,-5,-12,-38,-1,14,Phase 3 transition,,,,,
21/06/2021,134,0,7,-23,4,-10,-34,-31,21,Phase 3 HA,,,,0.361,0.16
22/06/2021,140,2,11,-25,2,-9,-35,-30,21,Phase 3 HA,,,,,
23/06/2021,136,5,13,-26,-1,-9,-34,-30,21,Phase 3 HA,,,,,
24/06/2021,132,4,11,-27,-5,-22,-34,-31,21,Phase 3 HA,,,,,
25/06/2021,135,4,14,-23,4,-17,-33,-27,23,Phase 3 HA,,,,,
26/06/2021,139,4,13,-18,11,-6,-25,3,12,Phase 3 HA,,,,,
27/06/2021,144,4,12,-22,1,-9,-31,4,12,Phase 3 HA,,,,,
28/06/2021,132,3,12,-21,6,-12,-31,-24,19,Phase 3 HA,,,,0.367,0.207
29/06/2021,126,3,11,-24,1,-19,-32,-24,18,Phase 3 HA,183,44,108,,
30/06/2021,129,4,8,-24,-3,-13,-32,-25,17,Phase 3 HA,173,42,101,,
01/07/2021,124,3,9,-23,1,-15,-26,-22,18,Phase 3 HA,165,38,82,,
02/07/2021,117,2,9,-20,6,-18,-26,-18,20,Phase 3 HA,163,37,81,0.373,0.228
03/07/2021,111,2,9,-15,14,-7,-22,4,11,Phase 3 HA,156,36,80,0.378,0.244
04/07/2021,101,2,10,-19,5,-12,-28,5,12,Phase 3 HA,150,36,81,0.381,0.252
05/07/2021,99,3,10,-18,10,-12,-31,-29,20,Phase 3 HA,150,36,82,0.384,0.26
06/07/2021,96,3,8,-20,6,-16,-27,-20,18,Phase 3 HA,150,36,80,0.386,0.268
07/07/2021,87,3,7,-21,2,-13,-26,-21,18,Phase 3 HA,150,36,83,,
08/07/2021,82,2,10,-22,4,-16,-25,-21,17,Phase 3 HA,150,35,83,,
09/07/2021,83,2,8,-19,9,-21,-25,-17,20,Phase 3 HA,148,34,84,0.398,0.285
10/07/2021,74,2,7,-15,13,-21,-22,5,12,Phase 3 HA,142,34,81,,
11/07/2021,75,2,6,-18,4,-17,-27,6,12,Phase 3 HA,136,33,79,,
12/07/2021,78,2,6,-19,2,-30,-26,-20,17,Phase 3 HA,132,30,75,0.415,0.29
13/07/2021,92,2,7,-21,2,-33,-27,-20,18,Phase 3 HA,130,34,78,0.424,0.287
14/07/2021,124,1,8,-19,1,-17,-25,-19,17,Phase 3 HA,149,52,78,,
15/07/2021,179,1,7,-19,5,-13,-24,-19,16,Phase 3 HA,152,72,77,,
16/07/2021,183,1,7,-15,8,-14,-23,-15,18,Phase 3 HA,155,98,87,0.457,0.265
17/07/2021,195,1,5,-10,16,-3,-19,5,10,Phase 3 HA,162,127,97,0.469,0.256
18/07/2021,242,1,5,-14,7,-1,-27,7,11,Phase 3 HA,185,145,135,0.482,0.246
19/07/2021,288,1,5,,,,,,,Phase 3 HA,246,179,190,0.49,0.24
20/07/2021,331,1,5,,,,,,,Phase 3 HA,225,241,316,,
21/07/2021,378,1,7,,,,,,,Phase 3 HA,209,283,373,,
22/07/2021,,,,,,,,,,Phase 2 HA,,,,,
23/07/2021,,,,,,,,,,Phase 2 HA,,,,,
24/07/2021,,,,,,,,,,Phase 2 HA,,,,,
25/07/2021,,,,,,,,,,Phase 2 HA,,,,,
26/07/2021,,,,,,,,,,Phase 2 HA,,,,,
27/07/2021,,,,,,,,,,Phase 2 HA,,,,,
28/07/2021,,,,,,,,,,Phase 2 HA,,,,,
29/07/2021,,,,,,,,,,Phase 2 HA,,,,,
30/07/2021,,,,,,,,,,Phase 2 HA,,,,,
31/07/2021,,,,,,,,,,Phase 2 HA,,,,,
01/08/2021,,,,,,,,,,Phase 2 HA,,,,,
02/08/2021,,,,,,,,,,Phase 2 HA,,,,,
03/08/2021,,,,,,,,,,Phase 2 HA,,,,,
04/08/2021,,,,,,,,,,Phase 2 HA,,,,,
05/08/2021,,,,,,,,,,Phase 2 HA,,,,,
06/08/2021,,,,,,,,,,Phase 2 HA,,,,,
07/08/2021,,,,,,,,,,Phase 2 HA,,,,,
08/08/2021,,,,,,,,,,Phase 2 HA,,,,,
09/08/2021,,,,,,,,,,Phase 2 HA,,,,,
10/08/2021,,,,,,,,,,Phase 2 HA,,,,,
11/08/2021,,,,,,,,,,Phase 2 HA,,,,,
12/08/2021,,,,,,,,,,Phase 2 HA,,,,,
13/08/2021,,,,,,,,,,Phase 2 HA,,,,,
14/08/2021,,,,,,,,,,Phase 2 HA,,,,,
15/08/2021,,,,,,,,,,Phase 2 HA,,,,,
16/08/2021,,,,,,,,,,Phase 2 HA,,,,,
17/08/2021,,,,,,,,,,Phase 2 HA,,,,,
18/08/2021,,,,,,,,,,Phase 2 HA,,,,,
